City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,qui nhon,13.7667,109.2333,27.32,74,86,1.01,VN,1687737548
191,brisas de zicatela,15.8369,-97.0419,28.39,73,100,2.57,MX,1687737548
192,nelson bay,-32.7167,152.15,16.17,43,3,7.6,AU,1687737548
193,tsiombe,-25.3,45.4833,14.2,76,0,0.6,MG,1687737548
194,qaqortoq,60.7167,-46.0333,2.65,89,10,1.88,GL,1687737548
195,shalqar,47.8333,59.6,18.58,82,64,6.98,KZ,1687737549
196,selebi-phikwe,-21.979,27.8498,11.08,53,0,2.32,BW,1687737549
197,poronaysk,49.2167,143.1167,15.25,93,100,0.93,RU,1687737549
198,lebu,-37.6167,-73.65,11.55,90,13,4.95,CL,1687737549
199,puerto san jose,13.9256,-90.8244,28.71,74,100,2.51,GT,1687737549
200,robertsport,6.7533,-11.3686,25.1,88,100,3.64,LR,1687737549
201,howrah,22.5892,88.3103,27.0,94,75,2.57,IN,1687737549
202,duyun,26.2667,107.5167,22.09,91,6,0.56,CN,1687737549
203,portishead,51.482,-2.7697,16.59,82,75,5.14,GB,1687737550
204,sweet home,44.3976,-122.7362,29.34,28,0,2.24,US,1687737550
205,abu,24.6,72.7,21.65,80,99,2.96,IN,1687737550
206,kristiansund,63.1115,7.732,17.36,63,62,0.51,NO,1687737550
207,port lincoln,-34.7333,135.8667,12.96,69,38,3.39,AU,1687737550
208,akureyri,65.6835,-18.0878,10.96,58,20,9.77,IS,1687737550
209,bangjun,39.9911,117.2628,26.74,51,100,2.25,CN,1687737550
210,meadow lakes,61.6247,-149.6011,19.3,47,20,4.12,US,1687737550
211,talca,-35.4333,-71.6667,14.51,89,100,2.47,CL,1687737551
212,narnaund,29.2167,76.15,28.61,70,96,3.62,IN,1687737551
213,touros,-5.1989,-35.4608,24.06,87,38,4.87,BR,1687737415
214,port augusta,-32.5,137.7667,11.33,63,76,1.22,AU,1687737551
215,talnakh,69.4865,88.3972,12.34,65,65,2.01,RU,1687737551
216,kununurra,-15.7667,128.7333,23.99,83,96,0.0,AU,1687737551
217,dolinsk,47.35,142.8,21.28,68,98,5.84,RU,1687737551
218,mount gambier,-37.8333,140.7667,12.44,73,29,4.6,AU,1687737551
219,pueblo nuevo,23.3833,-105.3833,27.3,35,23,1.72,MX,1687737551
220,nuuk,64.1835,-51.7216,3.82,86,17,5.36,GL,1687737552
221,grootfontein,-19.5667,18.1167,13.76,41,0,2.06,NA,1687737552
222,dongling,41.8144,123.5758,25.05,54,100,1.87,CN,1687737552
223,khorixas,-20.3667,14.9667,13.41,51,0,1.83,NA,1687737552
224,taroa,8.7058,171.2275,28.4,79,98,8.48,MH,1687737552
225,fort bragg,35.139,-79.006,31.75,53,40,3.6,US,1687737552
226,kayes,14.0,-11.0,30.29,55,83,5.17,ML,1687737552
227,coquimbo,-29.9533,-71.3436,14.85,100,0,0.0,CL,1687737553
228,tondon,10.3667,-13.35,23.94,98,100,0.59,GN,1687737553
229,nchelenge,-9.3451,28.734,15.5,60,2,3.29,ZM,1687737553
230,krasnyy kholm,58.0607,37.1203,11.56,69,77,0.95,RU,1687737553
231,mirabad,30.4362,61.8383,29.78,22,73,12.19,AF,1687737553
232,wawa,9.9022,4.4192,24.32,84,100,2.2,NG,1687737553
233,santa ana de yacuma,-13.75,-65.4333,28.97,70,20,0.0,BO,1687737553
234,bedesa,8.9,40.7833,17.98,84,95,1.78,ET,1687737553
235,tabuk,17.4189,121.4443,27.19,75,26,1.58,PH,1687737553
236,nichinan,31.6,131.3667,26.82,84,100,2.0,JP,1687737554
237,novodvinsk,64.4165,40.8122,11.57,88,81,1.46,RU,1687737554
238,ayr,55.4627,-4.6339,13.99,88,20,2.57,GB,1687737554
239,duong dong,10.2167,103.9667,29.0,84,20,2.57,VN,1687737554
240,alipur,29.3846,70.9116,34.35,48,81,9.04,PK,1687737554
241,la passe,45.5549,-0.8967,19.99,90,2,4.08,FR,1687737554
242,saudarkrokur,65.7461,-19.6394,8.7,78,66,9.43,IS,1687737554
243,vallenar,-28.5708,-70.7581,20.62,36,0,2.04,CL,1687737555
244,akkus,40.7931,37.0164,10.43,58,0,1.1,TR,1687737555
245,nueva gerona,21.8833,-82.8,29.4,70,72,2.83,CU,1687737555
246,barah,13.7,30.3667,28.57,54,33,6.49,SD,1687737555
247,sos'va,59.1766,61.8558,6.89,89,54,2.05,RU,1687737555
248,holualoa,19.6228,-155.9522,26.91,73,40,5.14,US,1687737555
249,muisne,0.6,-80.0333,25.52,82,95,4.79,EC,1687737555
250,vadso,70.0744,29.7487,9.49,100,75,1.54,NO,1687737555
251,inari,68.906,27.0288,13.11,86,87,2.67,FI,1687737555
252,pacific grove,36.6177,-121.9166,23.23,75,20,5.14,US,1687737556
253,nuku'alofa,-21.1333,-175.2,24.19,88,40,4.63,TO,1687737556
254,udachny,66.4167,112.4,16.36,54,89,5.19,RU,1687737556
255,guiuan,11.0333,125.7247,27.11,78,40,1.87,PH,1687737556
256,freetown,8.484,-13.2299,25.47,86,100,2.16,SL,1687737556
257,zaozersk,69.4005,32.4476,9.49,92,98,4.59,RU,1687737556
258,pisco,-13.7,-76.2167,20.03,77,0,6.69,PE,1687737556
259,shenjiamen,29.9576,122.298,24.23,93,96,8.66,CN,1687737556
260,chernyshevskiy,63.0128,112.4714,16.84,63,100,4.3,RU,1687737556
261,brezovica pri ljubljani,46.0333,14.4,17.43,85,0,0.62,SI,1687737557
262,susangerd,31.5608,48.1831,32.75,16,0,6.08,IR,1687737557
263,gadzhiyevo,69.2551,33.3362,8.81,96,90,4.17,RU,1687737557
264,broome,42.2506,-75.833,25.21,80,75,3.13,US,1687737557
265,fauske,67.2588,15.3918,12.65,81,22,0.59,NO,1687737557
266,mount isa,-20.7333,139.5,24.87,36,80,2.57,AU,1687737557
267,russellville,35.2784,-93.1338,24.43,92,100,3.09,US,1687737441
268,kismayo,-0.3582,42.5454,24.97,80,67,6.94,SO,1687737558
269,cabedelo,-6.9811,-34.8339,23.37,85,54,5.73,BR,1687737259
270,da nang,16.0678,108.2208,25.99,89,0,1.54,VN,1687737558
271,banda aceh,5.5577,95.3222,26.87,82,95,4.74,ID,1687737558
272,east london,-33.0153,27.9116,15.73,86,100,7.68,ZA,1687737558
273,sinabang,2.4803,96.3801,26.73,79,100,1.76,ID,1687737558
274,sokoni,-6.4333,39.55,24.92,73,1,8.94,TZ,1687737558
275,yreka,41.7354,-122.6345,28.1,24,0,4.63,US,1687737558
276,mossel bay,-34.1831,22.146,12.96,89,100,4.75,ZA,1687737558
277,makhambet,47.6667,51.5833,16.48,62,48,5.14,KZ,1687737559
278,port-gentil,-0.7193,8.7815,23.78,86,70,4.46,GA,1687737559
279,eydhafushi,5.1033,73.0708,27.7,74,100,4.59,MV,1687737559
280,sao mateus do sul,-25.8742,-50.3828,13.44,88,0,1.02,BR,1687737559
281,pahrump,36.2083,-115.9839,33.58,5,0,4.47,US,1687737446
282,deqen,29.9618,90.7188,11.82,72,20,1.66,CN,1687737559
283,adrar,20.5022,-10.0711,31.56,13,0,4.64,MR,1687737559
284,usogorsk,63.4106,48.6872,11.42,75,46,1.51,RU,1687737560
285,qorveh,35.1664,47.8045,15.65,48,0,2.13,IR,1687737560
286,nadi,-17.8,177.4167,26.0,44,20,4.12,FJ,1687737560
287,taguatinga,-12.3857,-46.5711,22.78,40,71,2.56,BR,1687737560
288,nadym,65.5333,72.5167,6.99,80,81,3.65,RU,1687737560
289,santo antonio,-6.3106,-35.4789,21.39,97,17,3.88,BR,1687737560
290,petrov val,50.1434,45.2096,13.74,71,94,2.07,RU,1687737560
291,kingston,17.997,-76.7936,30.53,67,20,8.23,JM,1687737504
292,as sulayyil,20.4607,45.5779,32.14,12,17,3.89,SA,1687737561
293,saint-georges,12.0564,-61.7485,27.82,78,20,2.57,GD,1687737561
294,tralee,52.2704,-9.7026,12.3,87,6,4.42,IE,1687737561
295,khandyga,62.6667,135.6,28.34,41,6,1.84,RU,1687737561
296,corbu,44.3833,28.65,21.74,88,40,2.57,RO,1687737561
297,iskateley,67.6803,53.1512,7.95,70,83,4.76,RU,1687737561
298,ullal,12.8,74.85,24.53,94,75,1.54,IN,1687737561
299,trashigang,27.3331,91.5542,21.49,91,10,1.35,BT,1687737561
300,santa terezinha,-29.9002,-50.0904,18.45,95,30,1.62,BR,1687737562
301,alofi,-19.0595,-169.9187,25.94,69,11,2.57,NU,1687737562
302,at taj,24.2049,23.2857,27.6,20,0,4.55,LY,1687737562
303,gushu,31.5598,118.4829,22.99,89,100,5.35,CN,1687737562
304,pacasmayo,-7.4006,-79.5714,22.19,79,62,4.39,PE,1687737562
305,kabwe,-14.4469,28.4464,10.14,66,0,2.42,ZM,1687737562
306,puerto leguizamo,-0.1934,-74.7819,22.88,98,98,1.16,CO,1687737562
307,acarau,-2.8856,-40.12,25.4,81,55,5.7,BR,1687737562
308,porvoo,60.3923,25.6651,15.5,94,11,1.5,FI,1687737563
309,harper,4.375,-7.7169,24.8,82,95,5.42,LR,1687737563
310,juegang,32.3174,121.1855,26.62,94,100,4.69,CN,1687737563
311,sovetskaya gavan',48.9723,140.2878,13.86,92,100,1.38,RU,1687737563
312,sayyan,15.1718,44.3244,19.16,53,52,1.33,YE,1687737564
313,magadan,59.5667,150.8,22.52,70,45,2.77,RU,1687737354
314,sandnessjoen,66.0217,12.6316,10.29,77,2,3.81,NO,1687737564
315,bengbu,32.9408,117.3608,22.53,89,59,5.23,CN,1687737437
316,antsiranana,-12.2787,49.2917,21.65,70,80,6.74,MG,1687737565
317,kone,-21.0595,164.8658,23.25,46,12,2.94,NC,1687737565
318,bonga,7.2833,36.2333,14.29,99,75,0.73,ET,1687737565
319,al ghayzah,16.2079,52.176,27.9,82,51,1.14,YE,1687737565
320,fort-shevchenko,44.5086,50.263,23.63,77,33,5.79,KZ,1687737565
321,jarocin,51.9727,17.5026,16.9,76,54,2.22,PL,1687737565
322,acajutla,13.5928,-89.8275,28.73,75,83,2.11,SV,1687737566
323,sudislavl',57.8817,41.7083,11.29,87,48,2.12,RU,1687737566
324,tefe,-3.3542,-64.7114,26.47,76,80,0.86,BR,1687737566
325,kondopoga,62.2057,34.2614,10.82,66,50,0.56,RU,1687737566
326,escanaba,45.7453,-87.0646,22.98,78,100,5.66,US,1687737566
327,thunder bay,48.4001,-89.3168,17.99,94,100,3.6,CA,1687737330
328,ghat,24.9647,10.1728,29.5,17,0,1.74,LY,1687737566
329,el calafate,-50.3408,-72.2768,0.55,86,99,1.01,AR,1687737567
330,nsanje,-16.92,35.262,14.75,85,0,0.71,MW,1687737567
331,san rafael del sur,11.8485,-86.4384,32.54,74,100,4.05,NI,1687737567
332,gokwe,-18.2048,28.9349,8.96,44,0,1.75,ZW,1687737567
333,bengkulu,-3.8004,102.2655,23.62,95,100,1.73,ID,1687737567
334,vuktyl,63.8567,57.3094,9.64,75,58,1.33,RU,1687737567
335,ribeira grande,38.5167,-28.7,20.99,91,94,1.26,PT,1687737567
336,esquel,-42.9,-71.3167,3.67,93,90,7.58,AR,1687737499
337,malindi,-3.2175,40.1191,25.15,79,50,8.46,KE,1687737568
338,ipsala,40.9212,26.3827,20.66,77,62,3.37,TR,1687737568
